TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Climbing Rose 'Eden' Starter Plant Fragrant Large Pink Cream Cupped Flowers---Stunning!!","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
**WE CANNOT SHIP TO P.O. BOXES!!**
SECOND PICTURE IS A REPRESENTATION OF THE PLANT YOU WILL RECEIVE.
***ITEMS ARE TAPED IN THE BOX FOR SECURE SHIPPING. PLEASE BE CAREFUL TO REMOVE TAPE FIRST BEFORE REMOVING PLANT(S)***

This listing is for 1 live starter plant that is 3"" - 6"" tall and growing quickly in a quart pot! This climber is absolutely gorgeous! In late Spring, it explodes with numerous large and lightly fragrant pink and cream flowers that are cupped and globular shaped! Each flower has 55 to 65 petals that give it a layered look! It will rebloom through the season, but the first flush of flowers is the most prolific! Grow these on a arch or pillar to make a dreamy statement in your garden!!

Common Name: 'Eden' Climbing Rose
Botanical Name: Rosa 'Pierre de Ronsard'
Hardiness Zones: 5 - 9
Bloom Time: Spring
Sunlight: Full sun
Soil Requirements: Moist, well drained soil
Mature Size: 6' to 10' tall 
Bloom Color: Pink and cream
Evergreen or Deciduous: Deciduous",27.9,USD,5,"fragrant_flowers,reblooming_rose,unique_flowers,showy_flowers,cottage_garden,numerous_petals,romantic_look,climbs_pillars,short_climber,climbs_archs,climbs_fences,disease_resistant,vigorous_growth","plant,soil,poly bag",https://i.etsystatic.com/20088520/r/il/4ea3de/6065602161/il_fullxfull.6065602161_gn5m.jpg,https://i.etsystatic.com/20088520/r/il/0f277d/8156094732/il_fullxfull.8156094732_hc6i.jpg,https://i.etsystatic.com/20088520/r/il/3cf74d/6017537964/il_fullxfull.6017537964_5vi4.jpg,,,,,,,,,,,,,,
"Arborose Tangerine Skies Climbing Rose Starter Plant: Fragrant Orange Flowers","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
**WE CANNOT SHIP TO P.O. BOXES!!**
SECOND PICTURE IS A REPRESENTATION OF THE PLANT YOU WILL RECEIVE.
***ITEMS ARE TAPED IN THE BOX FOR SECURE SHIPPING. PLEASE BE CAREFUL TO REMOVE TAPE FIRST BEFORE REMOVING PLANT(S)***

This listing is for 1 live starter plant that is 3"" - 6"" tall and growing quickly in a quart pot! This is another beautiful climbing Rose that is very robust and winter-hardy! In Spring, it starts blooming with fragrant flowers that are orange! It also blooms continuously through Summer and well into Fall! It is mostly used as a climbing arbors, trellis, fences and pergolas. 

Common Name: 'Arborose Tangerine Skies' Climbing Rose
Botanical Name: Rosa 'KORtangenu' PP 30,588
Hardiness Zones: 5 - 9
Bloom Time: Spring through Fall
Sunlight: Full sun
Soil Requirements: Moist, well drained soil
Mature Size: 8' tall and 3' to 4' wide
Bloom Color: Orange
Evergreen or Deciduous: Deciduous",27.9,USD,7,"continuous_blooms,reblooming_rose,showy_flowers,cut_flowers,repeat_bloomer,heirloom_rose,large_flowers,flowering_hedge,medium_climber,fast_growing,fragrant,arbor_rose,full_sun",,https://i.etsystatic.com/20088520/r/il/f41375/8049194155/il_fullxfull.8049194155_c1lb.jpg,https://i.etsystatic.com/20088520/r/il/18f9a8/8203907115/il_fullxfull.8203907115_ckap.jpg,https://i.etsystatic.com/20088520/r/il/725a43/8001264968/il_fullxfull.8001264968_ft2g.jpg,,,,,,,,,,,,,,
"Astilbe x arendsii 'Bridal Veil' Live Plant Perennial White Flowers Shade Garden---Beautiful!!","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
**WE CANNOT SHIP TO P.O. BOXES!!**
SECOND PICTURE IS A REPRESENTATION OF THE PLANT YOU WILL RECEIVE.
***ITEMS ARE TAPED IN THE BOX FOR SECURE SHIPPING. PLEASE BE CAREFUL TO REMOVE TAPE FIRST BEFORE REMOVING PLANT(S)***

This listing is for a live plant that is 6"" to 8"" tall. This gorgeous variety has vivid green foliage and pure white upright flowers in Summer. These plants are great to brighten up shady spots in your garden and look fantastic paired up with other different colored Astilbes! Add these beauties to your collection!!

Common Name: 'Bridal Veil' Astilbe
Botanical Name: Astilbe x arendsii
Hardiness Zones: 4 - 9
Sunlight: Full shade/part shade
Soil Requirements: Moist, well drained soil
Mature Size: 1' to 3' tall and 3' wide
Deciduous or Evergreen: Dies back in Winter and grows back from the roots in Spring",23.85,USD,4,"low_maintenance,cottage_garden,Summer_flowers,shade_garden,cut_flowers,cutting_garden,woodland_garden,mass_planting,attracts_butterflies,shade_lover,moonlight_garden,showy_flowers,easy_to_grow","plant,soil,poly bag",https://i.etsystatic.com/20088520/r/il/77f2e8/3982145656/il_fullxfull.3982145656_eywu.jpg,https://i.etsystatic.com/20088520/r/il/06ead8/8152714412/il_fullxfull.8152714412_sfmr.jpg,https://i.etsystatic.com/20088520/r/il/275331/4029798833/il_fullxfull.4029798833_omn2.jpg,,,,,,,,,,,,,,
"Mountain Laurel 'Keepsake' Kalmia latifolia Live Plant Evergreen Shrub Raspberry Red Buds & Burgundy-Wine Flowers---Stunning!!","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
**WE CANNOT SHIP TO P.O. BOXES!!**
SECOND PICTURE IS A REPRESENTATION OF THE PLANT YOU WILL RECEIVE.
***ITEMS ARE TAPED IN THE BOX FOR SECURE SHIPPING. PLEASE BE CAREFUL TO REMOVE TAPE FIRST BEFORE REMOVING PLANT(S)***

This listing is for 1 live plant that is 6"" - 8"" tall ! Mountain Laurels are hard to find!! In late Spring/early Summer, it has raspberry-red buds that open up into burgundy-wine flowers! It has a long bloom time, so you can enjoy gorgeous flowers for quite a while! It's compact size makes it a great choice for containers too!!

Common Name: 'Keepsake' Mountain Laurel
Botanical Name: Kalmia latifolia
Hardiness Zones: 5 - 9
Bloom Time: Late Spring/early Summer 
Sunlight: Part sun prefers morning sun
Soil Requirements: Moist, well drained soil
Mature Size: 5' tall and wide
Bloom Color: Burgundy-wine
Evergreen or Deciduous: Evergreen",34.2,USD,6,"evergreen_shrub,showy_flowers,long_bloom_time,small_garden_space,border_plant,container_garden,cut_flowers,easy_to_grow,attracts_butterflies,Bee_friendly,compact_shape,low_informal_hedge,rabbit_resistant",,https://i.etsystatic.com/20088520/r/il/163edf/8095110939/il_fullxfull.8095110939_eq28.jpg,https://i.etsystatic.com/20088520/r/il/d07176/8095103449/il_fullxfull.8095103449_fx14.jpg,https://i.etsystatic.com/20088520/r/il/abb4bd/8095106031/il_fullxfull.8095106031_r9nv.jpg,,,,,,,,,,,,,,
"Climbing Rose 'Joseph's Coat' Starter Plant Perennial Shrub Fragrant Color Changing Yellow Orange Red---Beautiful!!","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
**WE CANNOT SHIP TO P.O. BOXES!!**
SECOND PICTURE IS A REPRESENTATION OF THE PLANT YOU WILL RECEIVE.
***ITEMS ARE TAPED IN THE BOX FOR SECURE SHIPPING. PLEASE BE CAREFUL TO REMOVE TAPE FIRST BEFORE REMOVING PLANT(S)***

This listing is for 1 live starter plant that is 3"" - 6"" tall and growing quickly in a quart pot! If you are looking for a unique Rose, this is it!! It blooms in flushes from Spring to Fall with flowers that change from yellow to scarlet and back to orange and carmine...wow!! This is a tall climber that works great on a trellis, pergola or fence and really puts on a show! Definitely add this one to your Rose collection!!

Common Name: 'Joseph's Coat' Rose
Botanical Name: Rosa
Hardiness Zones: 5 - 9
Bloom Time: Spring, Summer, Fall
Sunlight: Full sun
Soil Requirements: Moist, well drained soil
Mature Size: 8' to 12' tall and 3' to 4' wide
Bloom Color: Color changes...yellow, orange, red
Deciduous or Evergreen: Deciduous",27.9,USD,3,"low_maintenance,cottage_garden,Spring_flowers,Summer_flowers,Fall_flowers,cut_flowers,attracts_butterflies,easy_to_grow,pollinators_love,showy_flowers,fragrant_flowers,courtyard_garden,climbs_an_arbor","plant,soil,poly bag",https://i.etsystatic.com/20088520/r/il/0d6df8/4886107424/il_fullxfull.4886107424_etqs.jpg,https://i.etsystatic.com/20088520/r/il/2ac680/8203923353/il_fullxfull.8203923353_abak.jpg,https://i.etsystatic.com/20088520/r/il/606845/4886107832/il_fullxfull.4886107832_ieo6.jpg,,,,,,,,,,,,,,
"Zephirine Drouhin Climbing Rose Starter Plant: Thornless, Fragrant Deep Pink Flowers","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
**WE CANNOT SHIP TO P.O. BOXES!!**
SECOND PICTURE IS A REPRESENTATION OF THE PLANT YOU WILL RECEIVE.
***ITEMS ARE TAPED IN THE BOX FOR SECURE SHIPPING. PLEASE BE CAREFUL TO REMOVE TAPE FIRST BEFORE REMOVING PLANT(S)***

This listing is for 1 live starter plant that is 3"" - 6"" tall and growing quickly in a quart pot! This is another beautiful climbing Rose that is thornless! In Spring, it starts blooming with highly fragrant flowers that are deep rose pink! It also blooms continuously through Summer and well into Fall! It is mostly used as a climber, but it can also be grown as a shrub too!!

Common Name: 'Zephirine Drouhin' Climbing Rose or Bourbon Rose
Botanical Name: Rosa
Hardiness Zones: 5 - 9
Bloom Time: Spring through Fall
Sunlight: Full sun
Soil Requirements: Moist, well drained soil
Mature Size: 4' to 12' tall and 3' to 6' wide
Bloom Color: Deep rose pink
Evergreen or Deciduous: Deciduous",27.9,USD,6,"continuous_blooms,reblooming_rose,showy_flowers,cut_flowers,highly_fragrant,Bourbon_Rose,repeat_bloomer,heirloom_rose,large_flowers,flowering_hedge,thornless_rose,medium_climber,fast_growing","plant,soil,poly bag",https://i.etsystatic.com/20088520/r/il/009043/6017606736/il_fullxfull.6017606736_2qf6.jpg,https://i.etsystatic.com/20088520/r/il/13999a/8204016209/il_fullxfull.8204016209_qmfe.jpg,https://i.etsystatic.com/20088520/r/il/22547f/6065671053/il_fullxfull.6065671053_pm23.jpg,,,,,,,,,,,,,,
"Japanese Maple 'Frosted Purple' Acer palmatum Live Grafted Tree Reticulated Reddish Purple Leaves---Beautiful!!","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
**WE CANNOT SHIP TO P.O. BOXES!!**
SECOND PICTURE IS A REPRESENTATION OF THE PLANT YOU WILL RECEIVE.
***ITEMS ARE TAPED IN THE BOX FOR SECURE SHIPPING. PLEASE BE CAREFUL TO REMOVE TAPE FIRST BEFORE REMOVING PLANT(S)***

This listing is for 1 plant that is 6""- 8"" tall. This grafted variety has a lot to offer! It stands out within the ""Ghost series"" style of maples for its highly vibrant, almost glowing spring coloration and intense structural definition. To maintain the brilliant ""frosted"" look without getting leaf scorch, give 'Frosted Purple' morning sun and afternoon shade. Variegated and Ghost-type maples perform best when protected from the harsh, direct afternoon heat.

Foliage & Reticulation: In the spring, the serrated, jagged leaves emerge a very bright, light pink-purple or deep pink with stark, dark purple veins. This prominent patterning—where the veins contrast sharply against the rest of the leaf blade—is known as reticulation.  

Summer & Fall Shifts: As summer progresses, the color mellows slightly, showing cream-white or frosted pink variegation over the purple-green base, though its reticulated veins hold strong. In autumn, it transitions to a rich, fiery red or red-purple.  

Size & Growth Habit: It is an upright, sculptural, and somewhat columnar grower. It reaches about 6 to 8 feet tall and 4 to 6 feet wide in its first 10 years, eventually maxing out around 10 to 12 feet, making it excellent for smaller gardens or container planting.  

Soil: Requires well-draining, slightly acidic soil. Like most Japanese maples, it is highly sensitive to ""wet feet"" (saturated, soggy soil), which can quickly lead to root rot.

Common Name: 'Frosted Purple' Japanese Maple
Botanical Name: Acer palmatum
Hardiness Zones: 5 - 9
Bloom Time: N/A
Sunlight: Morning sun/Afternoon shade
Soil Requirements: Moist, well drained soil
Mature Size: 6'-8' tall and 4'-6' wide
Bloom Color: N/A
Deciduous or Evergreen: Deciduous",32.95,USD,1,"Japanese_Maples,easy_to_grow,low_maintenance,reticulated_leaves,vibrant_color,brilliant_Fall_color,woodland_garden,jagged_edge_leaves,unique_leaves,Asian_garden,upright_growth_habit,ornamental_tree,cottage_garden",,https://i.etsystatic.com/20088520/r/il/63e076/6964416718/il_fullxfull.6964416718_ql9o.jpg,https://i.etsystatic.com/20088520/r/il/e16fae/8207058005/il_fullxfull.8207058005_ex5a.jpg,,,,,,,,,,,,,,,
"Korean Lilac 'Miss Kim' Syringa patula Live Plant Flowering Shrub Fragrant Lavender Blue Flowers---Gorgeous!!","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
*** WE DO NOT SHIP TO PO BOXES***
Second photo is a representation of the plant you will receive.
This listing is for 1 semi-dormant live plant that is 6""- 8"" tall. Beautiful flowers and lots of fragrance? Yes please!! In Spring, this wonderful shrub  has deep purple buds that open up into lavender blue flower clusters that are highly fragrant! In Fall, the foliage is burgundy tinged to add more to its charm! Great when planted in groups or as a specimen plant!

Common Name: 'Miss Kim' Korean Lilac
Botanical Name: Syringa patula
Hardiness Zones: 4 - 8
Bloom Time: Spring
Sunlight: Full sun/part shade
Soil Requirements: Moist, well drained soil
Mature Size: 6' to 8' tall and wide
Bloom Color: Lavender blue
Deciduous or Evergreen: Deciduous",22.45,USD,3,"low_maintenance,cottage_garden,Spring_flowers,highly_fragrant,attracts_butterflies,easy_to_grow,Fall_color,cut_flowers,pollinator_plant,showy_flowers,attract_hummingbirds,hedge_plant,specimen_planting","plant,soil,poly bag",https://i.etsystatic.com/20088520/r/il/d3541d/4832973855/il_fullxfull.4832973855_1hxa.jpg,https://i.etsystatic.com/20088520/r/il/80a471/7881834174/il_fullxfull.7881834174_svyy.jpg,https://i.etsystatic.com/20088520/r/il/ca7db0/4683209193/il_fullxfull.4683209193_cn6n.jpg,,,,,,,,,,,,,,
"Japanese Flowering Quince 'Cameo' Shrub: Coral Pink Flowers, Thornless Ornamental Plant","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
WE CANNOT SHIP TO P.O. BOXES!!
SECOND PICTURE IS A REPRESENTATION OF THE PLANT YOU WILL RECEIVE.
***ITEMS ARE TAPED IN THE BOX FOR SECURE SHIPPING. PLEASE BE CAREFUL TO REMOVE TAPE FIRST BEFORE REMOVING PLANT(S)***

This listing is for 1  live plant that is 6""- 10"" tall. This beautiful variety of flowering Quince grows in a compact shape and is absolutely gorgeous in Spring! It has tons of semi-double flower clusters that are coral pink in color. The flowers will turn into fragrant greenish yellow fruit. The fruit is edible, but it's best to use them in jelly or preserves...they are bitter if eaten directly from the shrub. The branches are thornless and it needs very little if any pruning! These plants work great as an accent plant or as a low hedge/border!!

Common Name: 'Cameo' Flowering Quince
Botanical Name: Chaenomeles x superba
Hardiness Zones: 5 - 9
Bloom Time: Spring
Sunlight: Full sun/part sun
Soil Requirements: Moist, well drained soil
Mature Size: 4' to 5' tall wide
Bloom Color: Coral pink
Deciduous or Evergreen: Deciduous",24.85,USD,1,"low_maintenance,cottage_garden,Spring_flowers,edible_fruit,easy_to_grow,urban_garden,low_hedge,drought_tolerant,flowering_hedge,pollinator_plant,showy_flowers,specimen_plant,border_plant","plant,soil,poly bag",https://i.etsystatic.com/20088520/r/il/b23583/4865924868/il_fullxfull.4865924868_3dff.jpg,https://i.etsystatic.com/20088520/r/il/87f57b/8001329928/il_fullxfull.8001329928_gcig.jpg,https://i.etsystatic.com/20088520/r/il/3f4907/5858310172/il_fullxfull.5858310172_495h.jpg,,,,,,,,,,,,,,
"Climbing Rose 'Fruity Petals' Starter Plant Lightly Fragrant Coral Pink Yellow Ruffled Flowers---Lovely!!","WE CANNOT SHIP TO THE FOLLOWING STATES DUE TO SHIPPING RESTRICTIONS: CALIFORNIA, OREGON, WASHINGTON, ARIZONA, ALASKA, HAWAII, IDAHO AND NEVADA
**WE CANNOT SHIP TO P.O. BOXES!!**
SECOND PICTURE IS A REPRESENTATION OF THE PLANT YOU WILL RECEIVE.
***ITEMS ARE TAPED IN THE BOX FOR SECURE SHIPPING. PLEASE BE CAREFUL TO REMOVE TAPE FIRST BEFORE REMOVING PLANT(S)***

This listing is for 1 live starter plant that is 4""- 6"" tall and multi-branched growing quickly in a quart pot! This beautiful climbing variety looks fabulous on a trellis or pergolas!! In early Spring, it explodes with beautiful coral pink flowers with yellow centers and ruffled edges that are lightly fragrant!! It will also rebloom throughout the season to really make your garden bright with color!!

Common Name: 'Fruity Petals' Climbing Rose
Botanical Name: Rosa 
Hardiness Zones: 5 - 9
Bloom Time: Summer to Fall
Sunlight: Full sun
Soil Requirements: Moist, well drained soil
Mature Size: 6' tall and 3' wide
Bloom Color: Coral pink with yellow center
Deciduous or Evergreen: Deciduous",27.9,USD,6,"showy_flowers,prolific_flowers,fragrant_flowers,easy_to_grow,low_maintenance,climbs_fences,climbs_arbors,container_garden,attracts_pollinators,bee_friendly,long_bloom_time,reblooming_rose,cupped_flowers","plant,soil,poly bag",https://i.etsystatic.com/20088520/r/il/1f9b27/6685625304/il_fullxfull.6685625304_6kqo.jpg,https://i.etsystatic.com/20088520/r/il/e61ed1/8203912603/il_fullxfull.8203912603_jqyj.jpg,https://i.etsystatic.com/20088520/r/il/dc8bc9/6733662529/il_fullxfull.6733662529_lhlp.jpg,https://i.etsystatic.com/20088520/r/il/1039ce/6685625006/il_fullxfull.6685625006_5rvw.jpg,https://i.etsystatic.com/20088520/r/il/9dea63/6685625462/il_fullxfull.6685625462_lj78.jpg,,,,,,,,,,,,
